ICD10_PHEWAS_CODE;ICD9-CM_PHEWAS_CODE;PHEWAS_STRING;EXCLUSION
A028;3;salmonella;001-009.99
A020;3;salmonella;001-009.99
A029;3;salmonella;001-009.99
A021;3;salmonella;001-009.99
A02;3;salmonella;001-009.99
A022;3;salmonella;001-009.99
A009;1;Cholera;001-009.99
A000;1;Cholera;001-009.99
A001;1;Cholera;001-009.99
A00;1;Cholera;001-009.99
A060;6;Amebiasis;001-009.99
A069;6;Amebiasis;001-009.99
A066;6;Amebiasis;001-009.99
A068;6;Amebiasis;001-009.99
A064;6;Amebiasis;001-009.99
A065;6;Amebiasis;001-009.99
A062;6;Amebiasis;001-009.99
A061;6;Amebiasis;001-009.99
A063;6;Amebiasis;001-009.99
A067;6;Amebiasis;001-009.99
A06;6;Amebiasis;001-009.99
A010;2;Typhoid and paratyphoid fevers;001-009.99
A011;2;Typhoid and paratyphoid fevers;001-009.99
A012;2;Typhoid and paratyphoid fevers;001-009.99
A013;2;Typhoid and paratyphoid fevers;001-009.99
A014;2;Typhoid and paratyphoid fevers;001-009.99
A01;2;Typhoid and paratyphoid fevers;001-009.99
A051;5;Other food poisoning (bacterial);001-009.99
A054;5;Other food poisoning (bacterial);001-009.99
A059;5;Other food poisoning (bacterial);001-009.99
A052;5;Other food poisoning (bacterial);001-009.99
A053;5;Other food poisoning (bacterial);001-009.99
A050;5;Other food poisoning (bacterial);001-009.99
A058;5;Other food poisoning (bacterial);001-009.99
A05;5;Other food poisoning (bacterial);001-009.99
A032;4;Shigellosis;001-009.99
A030;4;Shigellosis;001-009.99
A031;4;Shigellosis;001-009.99
A033;4;Shigellosis;001-009.99
A038;4;Shigellosis;001-009.99
A039;4;Shigellosis;001-009.99
A03;4;Shigellosis;001-009.99
A09;9;Ill-defined intestinal infections;001-009.99
A070;7;Other protozoal intestinal diseases;001-009.99
A072;7;Other protozoal intestinal diseases;001-009.99
A078;7;Other protozoal intestinal diseases;001-009.99
A073;7;Other protozoal intestinal diseases;001-009.99
A079;7;Other protozoal intestinal diseases;001-009.99
A071;7;Other protozoal intestinal diseases;001-009.99
A07;7;Other protozoal intestinal diseases;001-009.99
A082;8;Intestinal infections due to other organisms;001-009.99
A080;8;Intestinal infections due to other organisms;001-009.99
A049;8;Intestinal infections due to other organisms;001-009.99
A045;8;Intestinal infections due to other organisms;001-009.99
A046;8;Intestinal infections due to other organisms;001-009.99
A043;8;Intestinal infections due to other organisms;001-009.99
A042;8;Intestinal infections due to other organisms;001-009.99
A040;8;Intestinal infections due to other organisms;001-009.99
A041;8;Intestinal infections due to other organisms;001-009.99
A048;8;Intestinal infections due to other organisms;001-009.99
A085;8;Intestinal infections due to other organisms;001-009.99
A083;8;Intestinal infections due to other organisms;001-009.99
A084;8;Intestinal infections due to other organisms;001-009.99
A081;8;Intestinal infections due to other organisms;001-009.99
A047;8;Intestinal infections due to other organisms;001-009.99
A044;8;Intestinal infections due to other organisms;001-009.99
A04;8;Intestinal infections due to other organisms;001-009.99
A08;8;Intestinal infections due to other organisms;001-009.99
A158;10;TUBERCULOSIS;010-018.99
A157;10;TUBERCULOSIS;010-018.99
A159;10;TUBERCULOSIS;010-018.99
B900;10;TUBERCULOSIS;010-018.99
B901;10;TUBERCULOSIS;010-018.99
B909;10;TUBERCULOSIS;010-018.99
B902;10;TUBERCULOSIS;010-018.99
B908;10;TUBERCULOSIS;010-018.99
A154;10;TUBERCULOSIS;010-018.99
A155;10;TUBERCULOSIS;010-018.99
A161;10;TUBERCULOSIS;010-018.99
A160;10;TUBERCULOSIS;010-018.99
A151;10;TUBERCULOSIS;010-018.99
A150;10;TUBERCULOSIS;010-018.99
A152;10;TUBERCULOSIS;010-018.99
A156;10;TUBERCULOSIS;010-018.99
O980;10;TUBERCULOSIS;010-018.99
A15;10;TUBERCULOSIS;010-018.99
A16;10;TUBERCULOSIS;010-018.99
O98;10;TUBERCULOSIS;010-018.99
B90;10;TUBERCULOSIS;010-018.99
A170;10;TUBERCULOSIS;010-018.99
A185;10;TUBERCULOSIS;010-018.99
A188;10;TUBERCULOSIS;010-018.99
A181;10;TUBERCULOSIS;010-018.99
A186;10;TUBERCULOSIS;010-018.99
A187;10;TUBERCULOSIS;010-018.99
A180;10;TUBERCULOSIS;010-018.99
A190;10;TUBERCULOSIS;010-018.99
A191;10;TUBERCULOSIS;010-018.99
A192;10;TUBERCULOSIS;010-018.99
A199;10;TUBERCULOSIS;010-018.99
A198;10;TUBERCULOSIS;010-018.99
A168;10;TUBERCULOSIS;010-018.99
A178;10;TUBERCULOSIS;010-018.99
A167;10;TUBERCULOSIS;010-018.99
A169;10;TUBERCULOSIS;010-018.99
A183;10;TUBERCULOSIS;010-018.99
A153;10;TUBERCULOSIS;010-018.99
A179;10;TUBERCULOSIS;010-018.99
A184;10;TUBERCULOSIS;010-018.99
N330;10;TUBERCULOSIS;010-018.99
