PHEWAS_CODE;ICD10_CODE;EXCLUSION;STR
A00;A000;A00-A09;Cholera
A00;A009;A00-A09;Cholera
A00;A001;A00-A09;Cholera
A00;A00;A00-A09;Cholera
A01;A012;A00-A09;Typhoid and paratyphoid fevers
A01;A01;A00-A09;Typhoid and paratyphoid fevers
A01;A010;A00-A09;Typhoid and paratyphoid fevers
A01;A014;A00-A09;Typhoid and paratyphoid fevers
A01;A011;A00-A09;Typhoid and paratyphoid fevers
A01;A013;A00-A09;Typhoid and paratyphoid fevers
A02;A029;A00-A09;Other salmonella infections
A02;A022;A00-A09;Other salmonella infections
A02;A02;A00-A09;Other salmonella infections
A02;A020;A00-A09;Other salmonella infections
A02;A028;A00-A09;Other salmonella infections
A02;A021;A00-A09;Other salmonella infections
A03;A031;A00-A09;Shigellosis
A03;A032;A00-A09;Shigellosis
A03;A039;A00-A09;Shigellosis
A03;A03;A00-A09;Shigellosis
A03;A038;A00-A09;Shigellosis
A03;A030;A00-A09;Shigellosis
A03;A033;A00-A09;Shigellosis
A04;A043;A00-A09;Other bacterial intestinal infections
A04;A049;A00-A09;Other bacterial intestinal infections
A04;A045;A00-A09;Other bacterial intestinal infections
A04;A041;A00-A09;Other bacterial intestinal infections
A04;A04;A00-A09;Other bacterial intestinal infections
A04;A040;A00-A09;Other bacterial intestinal infections
A04;A047;A00-A09;Other bacterial intestinal infections
A04;A044;A00-A09;Other bacterial intestinal infections
A04;A046;A00-A09;Other bacterial intestinal infections
A04;A042;A00-A09;Other bacterial intestinal infections
A04;A048;A00-A09;Other bacterial intestinal infections
A05;A050;A00-A09;Other bacterial foodborne intoxications
A05;A05;A00-A09;Other bacterial foodborne intoxications
A05;A053;A00-A09;Other bacterial foodborne intoxications
A05;A054;A00-A09;Other bacterial foodborne intoxications
A05;A059;A00-A09;Other bacterial foodborne intoxications
A05;A051;A00-A09;Other bacterial foodborne intoxications
A05;A052;A00-A09;Other bacterial foodborne intoxications
A05;A058;A00-A09;Other bacterial foodborne intoxications
A06;A062;A00-A09;Amoebiasis
A06;A063;A00-A09;Amoebiasis
A06;A066;A00-A09;Amoebiasis
A06;A061;A00-A09;Amoebiasis
A06;A060;A00-A09;Amoebiasis
A06;A068;A00-A09;Amoebiasis
A06;A06;A00-A09;Amoebiasis
A06;A064;A00-A09;Amoebiasis
A06;A067;A00-A09;Amoebiasis
A06;A065;A00-A09;Amoebiasis
A06;A069;A00-A09;Amoebiasis
A07;A073;A00-A09;Other protozoal intestinal diseases
A07;A07;A00-A09;Other protozoal intestinal diseases
A07;A071;A00-A09;Other protozoal intestinal diseases
A07;A072;A00-A09;Other protozoal intestinal diseases
A07;A079;A00-A09;Other protozoal intestinal diseases
A07;A070;A00-A09;Other protozoal intestinal diseases
A07;A078;A00-A09;Other protozoal intestinal diseases
A08;A081;A00-A09;Viral and other specified intestinal infections
A08;A08;A00-A09;Viral and other specified intestinal infections
A08;A083;A00-A09;Viral and other specified intestinal infections
A08;A084;A00-A09;Viral and other specified intestinal infections
A08;A082;A00-A09;Viral and other specified intestinal infections
A08;A080;A00-A09;Viral and other specified intestinal infections
A08;A085;A00-A09;Viral and other specified intestinal infections
A09;A090;A00-A09;Diarrhoea and gastroenteritis of presumed infectious origin
A09;A09;A00-A09;Diarrhoea and gastroenteritis of presumed infectious origin
A09;A099;A00-A09;Diarrhoea and gastroenteritis of presumed infectious origin
A15;A159;A15-A19;Respiratory tuberculosis, bacteriologically and histologically confirmed
A15;A158;A15-A19;Respiratory tuberculosis, bacteriologically and histologically confirmed
A15;A156;A15-A19;Respiratory tuberculosis, bacteriologically and histologically confirmed
A15;A157;A15-A19;Respiratory tuberculosis, bacteriologically and histologically confirmed
A15;A152;A15-A19;Respiratory tuberculosis, bacteriologically and histologically confirmed
A15;A153;A15-A19;Respiratory tuberculosis, bacteriologically and histologically confirmed
A15;A151;A15-A19;Respiratory tuberculosis, bacteriologically and histologically confirmed
A15;A155;A15-A19;Respiratory tuberculosis, bacteriologically and histologically confirmed
A15;A15;A15-A19;Respiratory tuberculosis, bacteriologically and histologically confirmed
A15;A154;A15-A19;Respiratory tuberculosis, bacteriologically and histologically confirmed
A15;A150;A15-A19;Respiratory tuberculosis, bacteriologically and histologically confirmed
A16;A165;A15-A19;Respiratory tuberculosis, not confirmed bacteriologically or histologically
A16;A160;A15-A19;Respiratory tuberculosis, not confirmed bacteriologically or histologically
A16;A161;A15-A19;Respiratory tuberculosis, not confirmed bacteriologically or histologically
A16;A164;A15-A19;Respiratory tuberculosis, not confirmed bacteriologically or histologically
A16;A16;A15-A19;Respiratory tuberculosis, not confirmed bacteriologically or histologically
A16;A163;A15-A19;Respiratory tuberculosis, not confirmed bacteriologically or histologically
A16;A167;A15-A19;Respiratory tuberculosis, not confirmed bacteriologically or histologically
A16;A162;A15-A19;Respiratory tuberculosis, not confirmed bacteriologically or histologically
A16;A169;A15-A19;Respiratory tuberculosis, not confirmed bacteriologically or histologically
A16;A168;A15-A19;Respiratory tuberculosis, not confirmed bacteriologically or histologically
A17;A171;A15-A19;Tuberculosis of nervous system
A17;A17;A15-A19;Tuberculosis of nervous system
A17;A179;A15-A19;Tuberculosis of nervous system
A17;A178;A15-A19;Tuberculosis of nervous system
A17;A170;A15-A19;Tuberculosis of nervous system
A18;A180;A15-A19;Tuberculosis of other organs
A18;A187;A15-A19;Tuberculosis of other organs
A18;A18;A15-A19;Tuberculosis of other organs
A18;A181;A15-A19;Tuberculosis of other organs
A18;A186;A15-A19;Tuberculosis of other organs
A18;A184;A15-A19;Tuberculosis of other organs
A18;A188;A15-A19;Tuberculosis of other organs
A18;A185;A15-A19;Tuberculosis of other organs
A18;A183;A15-A19;Tuberculosis of other organs
A18;A182;A15-A19;Tuberculosis of other organs
A19;A199;A15-A19;Miliary tuberculosis
A19;A190;A15-A19;Miliary tuberculosis
A19;A191;A15-A19;Miliary tuberculosis
A19;A198;A15-A19;Miliary tuberculosis
A19;A192;A15-A19;Miliary tuberculosis
A19;A19;A15-A19;Miliary tuberculosis
A20;A202;A20-A28;Plague
A20;A207;A20-A28;Plague
A20;A20;A20-A28;Plague
A20;A209;A20-A28;Plague
A20;A201;A20-A28;Plague
A20;A208;A20-A28;Plague
A20;A200;A20-A28;Plague
A20;A203;A20-A28;Plague
A21;A211;A20-A28;Tularaemia
A21;A218;A20-A28;Tularaemia
A21;A217;A20-A28;Tularaemia
A21;A210;A20-A28;Tularaemia
A21;A213;A20-A28;Tularaemia
A21;A219;A20-A28;Tularaemia
A21;A21;A20-A28;Tularaemia
A21;A212;A20-A28;Tularaemia
A22;A22;A20-A28;Anthrax
A22;A229;A20-A28;Anthrax
A22;A222;A20-A28;Anthrax
A22;A227;A20-A28;Anthrax
A22;A228;A20-A28;Anthrax
A22;A221;A20-A28;Anthrax
A22;A220;A20-A28;Anthrax
A23;A23;A20-A28;Brucellosis
A23;A230;A20-A28;Brucellosis
A23;A231;A20-A28;Brucellosis
A23;A232;A20-A28;Brucellosis
A23;A238;A20-A28;Brucellosis
A23;A233;A20-A28;Brucellosis
A23;A239;A20-A28;Brucellosis
A24;A240;A20-A28;Glanders and melioidosis
A24;A242;A20-A28;Glanders and melioidosis
A24;A244;A20-A28;Glanders and melioidosis
A24;A24;A20-A28;Glanders and melioidosis
A24;A243;A20-A28;Glanders and melioidosis
A24;A241;A20-A28;Glanders and melioidosis
A25;A250;A20-A28;Rat-bite fevers
A25;A259;A20-A28;Rat-bite fevers
A25;A25;A20-A28;Rat-bite fevers
A25;A251;A20-A28;Rat-bite fevers
A26;A268;A20-A28;Erysipeloid
A26;A26;A20-A28;Erysipeloid
A26;A260;A20-A28;Erysipeloid
A26;A267;A20-A28;Erysipeloid
A26;A269;A20-A28;Erysipeloid
A27;A278;A20-A28;Leptospirosis
A27;A270;A20-A28;Leptospirosis
A27;A27;A20-A28;Leptospirosis
A27;A279;A20-A28;Leptospirosis
A28;A280;A20-A28;Other zoonotic bacterial diseases, not elsewhere classified
A28;A288;A20-A28;Other zoonotic bacterial diseases, not elsewhere classified
A28;A289;A20-A28;Other zoonotic bacterial diseases, not elsewhere classified
A28;A282;A20-A28;Other zoonotic bacterial diseases, not elsewhere classified
A28;A28;A20-A28;Other zoonotic bacterial diseases, not elsewhere classified
A28;A281;A20-A28;Other zoonotic bacterial diseases, not elsewhere classified
A30;A303;A30-A49;Leprosy [Hansen's disease]
A30;A300;A30-A49;Leprosy [Hansen's disease]
A30;A305;A30-A49;Leprosy [Hansen's disease]
A30;A304;A30-A49;Leprosy [Hansen's disease]
A30;A30;A30-A49;Leprosy [Hansen's disease]
A30;A308;A30-A49;Leprosy [Hansen's disease]
A30;A301;A30-A49;Leprosy [Hansen's disease]
A30;A302;A30-A49;Leprosy [Hansen's disease]
A30;A309;A30-A49;Leprosy [Hansen's disease]
A31;A319;A30-A49;Infection due to other mycobacteria
A31;A311;A30-A49;Infection due to other mycobacteria
A31;A318;A30-A49;Infection due to other mycobacteria
A31;A310;A30-A49;Infection due to other mycobacteria
A31;A31;A30-A49;Infection due to other mycobacteria
A32;A320;A30-A49;Listeriosis
A32;A329;A30-A49;Listeriosis
A32;A321;A30-A49;Listeriosis
A32;A327;A30-A49;Listeriosis
A32;A328;A30-A49;Listeriosis
A32;A32;A30-A49;Listeriosis
A33;A33;A30-A49;Tetanus neonatorum
A34;A34;A30-A49;Obstetrical tetanus
A35;A35;A30-A49;Other tetanus
A36;A36;A30-A49;Diphtheria
A36;A361;A30-A49;Diphtheria
A36;A368;A30-A49;Diphtheria
A36;A369;A30-A49;Diphtheria
A36;A362;A30-A49;Diphtheria
A36;A360;A30-A49;Diphtheria
A36;A363;A30-A49;Diphtheria
A37;A37;A30-A49;Whooping cough
A37;A378;A30-A49;Whooping cough
A37;A371;A30-A49;Whooping cough
A37;A370;A30-A49;Whooping cough
A37;A379;A30-A49;Whooping cough
A38;A38;A30-A49;Scarlet fever
A39;A390;A30-A49;Meningococcal infection
A39;A392;A30-A49;Meningococcal infection
A39;A398;A30-A49;Meningococcal infection
A39;A39;A30-A49;Meningococcal infection
A39;A395;A30-A49;Meningococcal infection
A39;A391;A30-A49;Meningococcal infection
A39;A394;A30-A49;Meningococcal infection
A39;A399;A30-A49;Meningococcal infection
A39;A393;A30-A49;Meningococcal infection
A40;A400;A30-A49;Streptococcal septicaemia
A40;A403;A30-A49;Streptococcal septicaemia
A40;A40;A30-A49;Streptococcal septicaemia
A40;A401;A30-A49;Streptococcal septicaemia
A40;A408;A30-A49;Streptococcal septicaemia
A40;A402;A30-A49;Streptococcal septicaemia
A40;A409;A30-A49;Streptococcal septicaemia
A41;A413;A30-A49;Other septicaemia
A41;A410;A30-A49;Other septicaemia
A41;A411;A30-A49;Other septicaemia
A41;A415;A30-A49;Other septicaemia
A41;A414;A30-A49;Other septicaemia
A41;A418;A30-A49;Other septicaemia
A41;A41;A30-A49;Other septicaemia
A41;A419;A30-A49;Other septicaemia
A41;A412;A30-A49;Other septicaemia
A42;A420;A30-A49;Actinomycosis
A42;A427;A30-A49;Actinomycosis
A42;A42;A30-A49;Actinomycosis
A42;A422;A30-A49;Actinomycosis
A42;A428;A30-A49;Actinomycosis
A42;A421;A30-A49;Actinomycosis
A42;A429;A30-A49;Actinomycosis
A43;A439;A30-A49;Nocardiosis
A43;A438;A30-A49;Nocardiosis
A43;A43;A30-A49;Nocardiosis
A43;A431;A30-A49;Nocardiosis
A43;A430;A30-A49;Nocardiosis
A44;A44;A30-A49;Bartonellosis
A44;A440;A30-A49;Bartonellosis
A44;A441;A30-A49;Bartonellosis
A44;A449;A30-A49;Bartonellosis
A44;A448;A30-A49;Bartonellosis
A46;A46;A30-A49;Erysipelas
A48;A483;A30-A49;Other bacterial diseases, not elsewhere classified
A48;A482;A30-A49;Other bacterial diseases, not elsewhere classified
A48;A488;A30-A49;Other bacterial diseases, not elsewhere classified
A48;A480;A30-A49;Other bacterial diseases, not elsewhere classified
A48;A484;A30-A49;Other bacterial diseases, not elsewhere classified
A48;A481;A30-A49;Other bacterial diseases, not elsewhere classified
A48;A48;A30-A49;Other bacterial diseases, not elsewhere classified
A49;A490;A30-A49;Bacterial infection of unspecified site
A49;A498;A30-A49;Bacterial infection of unspecified site
A49;A49;A30-A49;Bacterial infection of unspecified site
A49;A493;A30-A49;Bacterial infection of unspecified site
A49;A499;A30-A49;Bacterial infection of unspecified site
A49;A491;A30-A49;Bacterial infection of unspecified site
A49;A492;A30-A49;Bacterial infection of unspecified site
A50;A506;A50-A64;Congenital syphilis
A50;A500;A50-A64;Congenital syphilis
A50;A502;A50-A64;Congenital syphilis
A50;A504;A50-A64;Congenital syphilis
A50;A505;A50-A64;Congenital syphilis
A50;A509;A50-A64;Congenital syphilis
A50;A50;A50-A64;Congenital syphilis
A50;A503;A50-A64;Congenital syphilis
A50;A501;A50-A64;Congenital syphilis
A50;A507;A50-A64;Congenital syphilis
A51;A515;A50-A64;Early syphilis
A51;A519;A50-A64;Early syphilis
A51;A510;A50-A64;Early syphilis
A51;A512;A50-A64;Early syphilis
A51;A511;A50-A64;Early syphilis
A51;A513;A50-A64;Early syphilis
A51;A51;A50-A64;Early syphilis
A51;A514;A50-A64;Early syphilis
A52;A528;A50-A64;Late syphilis
A52;A523;A50-A64;Late syphilis
A52;A521;A50-A64;Late syphilis
A52;A527;A50-A64;Late syphilis
A52;A522;A50-A64;Late syphilis
A52;A52;A50-A64;Late syphilis
A52;A529;A50-A64;Late syphilis
A52;A520;A50-A64;Late syphilis
A53;A530;A50-A64;Other and unspecified syphilis
A53;A539;A50-A64;Other and unspecified syphilis
A53;A53;A50-A64;Other and unspecified syphilis
A54;A54;A50-A64;Gonococcal infection
A54;A549;A50-A64;Gonococcal infection
A54;A540;A50-A64;Gonococcal infection
A54;A541;A50-A64;Gonococcal infection
A54;A545;A50-A64;Gonococcal infection
A54;A546;A50-A64;Gonococcal infection
A54;A542;A50-A64;Gonococcal infection
A54;A543;A50-A64;Gonococcal infection
A54;A544;A50-A64;Gonococcal infection
A54;A548;A50-A64;Gonococcal infection
A55;A55;A50-A64;Chlamydial lymphogranuloma (venereum)
A56;A56;A50-A64;Other sexually transmitted chlamydial diseases
A56;A560;A50-A64;Other sexually transmitted chlamydial diseases
A56;A568;A50-A64;Other sexually transmitted chlamydial diseases
A56;A562;A50-A64;Other sexually transmitted chlamydial diseases
A56;A564;A50-A64;Other sexually transmitted chlamydial diseases
A56;A561;A50-A64;Other sexually transmitted chlamydial diseases
A56;A563;A50-A64;Other sexually transmitted chlamydial diseases
A57;A57;A50-A64;Chancroid
A58;A58;A50-A64;Granuloma inguinale
A59;A598;A50-A64;Trichomoniasis
A59;A59;A50-A64;Trichomoniasis
A59;A590;A50-A64;Trichomoniasis
A59;A599;A50-A64;Trichomoniasis
A60;A600;A50-A64;Anogenital herpesviral [herpes simplex] infection
A60;A601;A50-A64;Anogenital herpesviral [herpes simplex] infection
A60;A60;A50-A64;Anogenital herpesviral [herpes simplex] infection
A60;A609;A50-A64;Anogenital herpesviral [herpes simplex] infection
A63;A63;A50-A64;Other predominantly sexually transmitted diseases, not elsewhere classified
A63;A6308;A50-A64;Other predominantly sexually transmitted diseases, not elsewhere classified
A63;A630;A50-A64;Other predominantly sexually transmitted diseases, not elsewhere classified
A63;A6300;A50-A64;Other predominantly sexually transmitted diseases, not elsewhere classified
A63;A638;A50-A64;Other predominantly sexually transmitted diseases, not elsewhere classified
A64;A64;A50-A64;Unspecified sexually transmitted disease
A65;A65;A65-A69;Nonvenereal syphilis
A66;A665;A65-A69;Yaws
A66;A660;A65-A69;Yaws
A66;A66;A65-A69;Yaws
A66;A666;A65-A69;Yaws
A66;A667;A65-A69;Yaws
A66;A661;A65-A69;Yaws
A66;A669;A65-A69;Yaws
A66;A668;A65-A69;Yaws
A66;A662;A65-A69;Yaws
A66;A664;A65-A69;Yaws
A66;A663;A65-A69;Yaws
A67;A679;A65-A69;Pinta [carate]
A67;A67;A65-A69;Pinta [carate]
A67;A672;A65-A69;Pinta [carate]
A67;A673;A65-A69;Pinta [carate]
A67;A670;A65-A69;Pinta [carate]
A67;A671;A65-A69;Pinta [carate]
A68;A689;A65-A69;Relapsing fevers
A68;A68;A65-A69;Relapsing fevers
A68;A680;A65-A69;Relapsing fevers
A68;A681;A65-A69;Relapsing fevers
A69;A691;A65-A69;Other spirochaetal infections
A69;A692;A65-A69;Other spirochaetal infections
A69;A699;A65-A69;Other spirochaetal infections
A69;A690;A65-A69;Other spirochaetal infections
A69;A698;A65-A69;Other spirochaetal infections
A69;A69;A65-A69;Other spirochaetal infections
A70;A70;A70-A74;Chlamydia psittaci infection
A71;A710;A70-A74;Trachoma
A71;A71;A70-A74;Trachoma
A71;A719;A70-A74;Trachoma
A71;A711;A70-A74;Trachoma
A74;A749;A70-A74;Other diseases caused by chlamydiae
A74;A74;A70-A74;Other diseases caused by chlamydiae
A74;A748;A70-A74;Other diseases caused by chlamydiae
A74;A740;A70-A74;Other diseases caused by chlamydiae
A75;A75;A75-A79;Typhus fever
A75;A752;A75-A79;Typhus fever
A75;A751;A75-A79;Typhus fever
A75;A753;A75-A79;Typhus fever
A75;A759;A75-A79;Typhus fever
A75;A750;A75-A79;Typhus fever
A77;A779;A75-A79;Spotted fever [tick-borne rickettsioses]
A77;A772;A75-A79;Spotted fever [tick-borne rickettsioses]
A77;A77;A75-A79;Spotted fever [tick-borne rickettsioses]
A77;A778;A75-A79;Spotted fever [tick-borne rickettsioses]
A77;A773;A75-A79;Spotted fever [tick-borne rickettsioses]
A77;A771;A75-A79;Spotted fever [tick-borne rickettsioses]
A77;A770;A75-A79;Spotted fever [tick-borne rickettsioses]
A78;A78;A75-A79;Q fever
A79;A798;A75-A79;Other rickettsioses
A79;A791;A75-A79;Other rickettsioses
A79;A799;A75-A79;Other rickettsioses
A79;A79;A75-A79;Other rickettsioses
A79;A790;A75-A79;Other rickettsioses
A80;A803;A80-A89;Acute poliomyelitis
A80;A801;A80-A89;Acute poliomyelitis
A80;A80;A80-A89;Acute poliomyelitis
A80;A800;A80-A89;Acute poliomyelitis
A80;A804;A80-A89;Acute poliomyelitis
A80;A809;A80-A89;Acute poliomyelitis
A80;A802;A80-A89;Acute poliomyelitis
A81;A81;A80-A89;Atypical virus infections of central nervous system
A81;A819;A80-A89;Atypical virus infections of central nervous system
A81;A812;A80-A89;Atypical virus infections of central nervous system
A81;A818;A80-A89;Atypical virus infections of central nervous system
A81;A810;A80-A89;Atypical virus infections of central nervous system
A81;A811;A80-A89;Atypical virus infections of central nervous system
A82;A821;A80-A89;Rabies
A82;A829;A80-A89;Rabies
A82;A820;A80-A89;Rabies
A82;A82;A80-A89;Rabies
A83;A838;A80-A89;Mosquito-borne viral encephalitis
A83;A835;A80-A89;Mosquito-borne viral encephalitis
A83;A839;A80-A89;Mosquito-borne viral encephalitis
A83;A836;A80-A89;Mosquito-borne viral encephalitis
A83;A830;A80-A89;Mosquito-borne viral encephalitis
A83;A832;A80-A89;Mosquito-borne viral encephalitis
A83;A833;A80-A89;Mosquito-borne viral encephalitis
A83;A834;A80-A89;Mosquito-borne viral encephalitis
A83;A831;A80-A89;Mosquito-borne viral encephalitis
A83;A83;A80-A89;Mosquito-borne viral encephalitis
A84;A840;A80-A89;Tick-borne viral encephalitis
A84;A848;A80-A89;Tick-borne viral encephalitis
A84;A841;A80-A89;Tick-borne viral encephalitis
A84;A849;A80-A89;Tick-borne viral encephalitis
A84;A84;A80-A89;Tick-borne viral encephalitis
A85;A858;A80-A89;Other viral encephalitis, not elsewhere classified
A85;A85;A80-A89;Other viral encephalitis, not elsewhere classified
A85;A852;A80-A89;Other viral encephalitis, not elsewhere classified
A85;A850;A80-A89;Other viral encephalitis, not elsewhere classified
A85;A851;A80-A89;Other viral encephalitis, not elsewhere classified
A86;A86;A80-A89;Unspecified viral encephalitis
A87;A872;A80-A89;Viral meningitis
A87;A879;A80-A89;Viral meningitis
A87;A87;A80-A89;Viral meningitis
A87;A870;A80-A89;Viral meningitis
A87;A878;A80-A89;Viral meningitis
A87;A871;A80-A89;Viral meningitis
A88;A88;A80-A89;Other viral infections of central nervous system, not elsewhere classified
A88;A880;A80-A89;Other viral infections of central nervous system, not elsewhere classified
A88;A888;A80-A89;Other viral infections of central nervous system, not elsewhere classified
A88;A881;A80-A89;Other viral infections of central nervous system, not elsewhere classified
A89;A89;A80-A89;Unspecified viral infection of central nervous system
A90;A90;A90-A99;Dengue fever [classical dengue]
A91;A91;A90-A99;Dengue haemorrhagic fever
A92;A924;A90-A99;Other mosquito-borne viral fevers
A92;A92;A90-A99;Other mosquito-borne viral fevers
A92;A923;A90-A99;Other mosquito-borne viral fevers
A92;A920;A90-A99;Other mosquito-borne viral fevers
A92;A929;A90-A99;Other mosquito-borne viral fevers
A92;A921;A90-A99;Other mosquito-borne viral fevers
A92;A928;A90-A99;Other mosquito-borne viral fevers
A92;A922;A90-A99;Other mosquito-borne viral fevers
A93;A931;A90-A99;Other arthropod-borne viral fevers, not elsewhere classified
A93;A932;A90-A99;Other arthropod-borne viral fevers, not elsewhere classified
A93;A938;A90-A99;Other arthropod-borne viral fevers, not elsewhere classified
A93;A930;A90-A99;Other arthropod-borne viral fevers, not elsewhere classified
A93;A93;A90-A99;Other arthropod-borne viral fevers, not elsewhere classified
A94;A94;A90-A99;Unspecified arthropod-borne viral fever
A95;A950;A90-A99;Yellow fever
A95;A959;A90-A99;Yellow fever
A95;A951;A90-A99;Yellow fever
A95;A95;A90-A99;Yellow fever
A96;A968;A90-A99;Arenaviral haemorrhagic fever
A96;A969;A90-A99;Arenaviral haemorrhagic fever
A96;A962;A90-A99;Arenaviral haemorrhagic fever
A96;A96;A90-A99;Arenaviral haemorrhagic fever
A96;A961;A90-A99;Arenaviral haemorrhagic fever
A96;A960;A90-A99;Arenaviral haemorrhagic fever
A98;A982;A90-A99;Other viral haemorrhagic fevers, not elsewhere classified
A98;A980;A90-A99;Other viral haemorrhagic fevers, not elsewhere classified
A98;A983;A90-A99;Other viral haemorrhagic fevers, not elsewhere classified
A98;A988;A90-A99;Other viral haemorrhagic fevers, not elsewhere classified
A98;A98;A90-A99;Other viral haemorrhagic fevers, not elsewhere classified
